LoyaltyCardID,Region,Age,Bikes
11417,Europe,68,7
11241,Europe,44,7
11420,Europe,66,7
11242,Europe,55,7
11429,Europe,60,6
11439,Europe,64,6
11425,Europe,53,6
11433,Europe,61,6
11432,Europe,61,6
12300,Europe,66,5
12321,Europe,62,5
12132,Europe,57,5
12308,Europe,48,5
12296,Europe,57,5
12124,Europe,56,5
12307,Europe,58,5
12131,Europe,57,5
12301,Europe,66,5
12333,Europe,64,4
14192,Europe,62,4
13606,Europe,63,4
12291,Europe,69,4
13260,Europe,55,4
11428,Europe,59,4
11244,Europe,49,4
12631,Europe,68,4
13261,Europe,56,4
13263,Europe,57,4
11423,Europe,58,4
11414,Europe,59,4
11245,Europe,56,4
13592,Europe,55,4
13256,Europe,55,4
12130,Europe,56,4
12128,Europe,50,4
11422,Europe,66,4
13259,Europe,55,4
11431,Europe,44,4
12125,Europe,56,4
12632,Europe,57,4
12657,Europe,63,4
14186,Europe,60,4
13264,Europe,56,4
12123,Europe,54,4
12650,Europe,63,4
12332,Europe,64,4
14185,Europe,60,4
11427,Europe,59,4
11239,Europe,49,4
11238,Europe,54,4
11249,Europe,52,4
11413,Europe,59,4
11243,Europe,55,4
13579,Europe,61,4
13405,Europe,55,4
11421,Europe,66,4
13255,Europe,56,4
12655,Europe,64,4
12129,Europe,56,4
13575,Europe,68,4
13257,Europe,55,4
13265,Europe,57,4
11237,Europe,54,4
11247,Europe,56,4
12330,Europe,63,4
14200,Europe,64,4
12314,Europe,59,4
12323,Europe,56,4
12298,Europe,67,4
11412,Europe,59,4
11250,Europe,52,4
13605,Europe,63,4
13258,Europe,56,4
11246,Europe,56,4
12302,Europe,67,4
12297,Europe,68,4
13580,Europe,66,4
13577,Europe,67,4
11240,Europe,54,4
12133,Europe,57,4
13595,Europe,61,4
13406,Europe,56,4
12305,Europe,58,3
15632,Europe,42,3
16594,Europe,61,3
12316,Europe,53,3
11027,Pacific,66,3
13632,Pacific,41,3
11930,Pacific,65,3
13823,Europe,45,3
13407,Europe,55,3
18125,Europe,43,3
11754,Pacific,42,3
12608,Europe,47,3
16567,Europe,43,3
13953,Pacific,38,3
13633,Pacific,41,3
12342,Pacific,38,3
