MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
1,1,40000,0,0,1,0,2,10,1,39,0
1,1,30000,3,0,1,0,2,2,2,66,0
1,1,30000,3,0,1,0,2,2,2,65,0
1,2,80000,2,0,1,1,2,10,2,61,0
1,2,80000,2,0,1,1,2,10,2,61,0
1,2,70000,2,0,1,1,2,10,2,60,0
1,1,70000,2,0,1,1,2,10,2,60,0
1,2,40000,0,0,1,0,2,2,1,43,0
1,2,60000,2,0,1,0,2,10,1,59,0
1,2,40000,0,0,1,1,1,10,1,41,0
1,2,40000,0,0,1,1,1,10,1,41,0
1,2,30000,0,0,1,1,2,10,1,37,0
1,2,30000,0,0,1,0,2,1,1,37,0
1,2,40000,0,0,1,1,2,10,1,38,0
1,2,40000,0,0,1,0,2,1,1,38,0
1,2,40000,0,0,1,0,2,1,1,39,0
1,1,40000,0,0,1,0,2,1,1,39,0
1,1,40000,0,0,1,1,2,10,1,40,0
1,2,40000,0,0,1,1,2,10,1,40,0
1,2,40000,0,0,1,1,2,10,1,41,0
1,2,40000,0,0,1,0,2,2,1,41,0
1,1,40000,2,1,1,1,2,20,1,68,0
1,2,40000,2,1,1,1,2,5,1,68,0
1,2,40000,2,1,1,1,2,20,1,68,0
1,2,40000,2,1,1,1,2,5,1,67,0
1,2,40000,2,1,1,1,2,5,1,67,0
1,1,60000,2,1,1,1,2,20,1,66,0
1,2,70000,2,1,1,1,2,5,1,65,0
1,1,60000,2,1,1,1,2,20,1,64,0
1,2,60000,3,1,1,0,2,5,1,64,0
1,1,60000,2,0,1,0,2,2,1,61,0
1,1,60000,2,0,1,0,2,2,1,61,0
1,1,60000,2,0,1,0,2,2,1,63,0
1,2,60000,2,0,1,1,2,10,1,62,0
1,2,10000,0,0,1,1,2,1,2,39,0
1,1,10000,0,0,1,0,2,1,2,39,0
1,1,10000,1,1,1,0,1,5,3,46,0
1,2,10000,1,1,1,0,1,5,3,46,0
1,2,10000,2,2,1,1,0,1,3,46,0
1,1,10000,2,2,1,1,0,1,3,47,0
1,1,10000,2,2,1,1,0,1,3,48,0
1,1,10000,2,2,1,0,1,1,3,47,0
1,1,10000,2,1,1,0,2,1,3,63,0
1,2,90000,4,1,1,1,2,20,3,64,0
1,1,90000,4,1,1,1,3,20,3,67,0
1,2,130000,4,5,1,1,4,1,3,67,0
1,2,100000,0,5,1,1,2,20,2,43,0
1,2,110000,0,5,1,0,4,20,2,45,0
1,1,30000,0,0,1,0,1,2,3,38,0
1,1,30000,0,0,1,0,1,2,3,43,0
1,1,30000,0,0,1,0,1,5,3,44,0
1,1,30000,1,0,1,1,1,5,1,62,0
1,1,10000,3,3,1,1,1,1,3,49,0
1,2,10000,4,0,1,1,2,1,3,90,0
1,1,20000,1,1,1,1,1,5,3,50,0
1,1,20000,1,1,1,0,1,5,3,51,0
1,1,20000,2,2,1,1,0,1,3,50,0
1,2,20000,2,2,1,1,1,1,3,51,0
1,2,20000,2,2,1,1,1,1,3,51,0
1,1,20000,3,3,1,1,1,1,3,52,0
1,1,20000,4,4,1,1,2,1,3,37,0
1,1,20000,5,5,1,1,3,1,3,37,0
1,1,20000,0,0,1,0,1,10,3,41,0
1,2,40000,3,2,1,1,2,5,1,54,0
1,1,40000,4,2,1,1,2,5,1,55,0
1,1,40000,4,2,1,1,2,5,1,56,0
1,2,40000,4,2,1,1,2,5,1,56,0
1,2,40000,4,2,1,1,2,1,1,57,0
1,2,30000,2,0,1,0,2,1,1,92,0
1,1,40000,3,2,1,1,2,5,1,54,0
1,2,40000,4,2,1,1,2,5,1,55,0
1,1,40000,4,2,1,1,2,5,1,56,0
1,2,30000,3,0,1,1,2,10,2,65,0
1,2,40000,0,0,1,0,2,2,1,41,0
1,2,70000,2,0,1,1,2,10,2,60,0
1,1,70000,2,0,1,1,2,10,2,61,0
1,2,60000,0,0,1,0,2,2,1,42,0
1,2,60000,2,0,1,0,2,2,1,59,0
1,2,60000,2,0,1,0,2,2,1,60,0
1,2,60000,2,0,1,1,2,10,1,59,0
1,1,30000,0,0,1,0,2,10,1,40,0
1,2,30000,0,0,1,0,2,1,1,36,0
1,1,40000,0,0,1,1,2,10,1,36,0
1,1,40000,0,0,1,1,2,10,1,38,0
1,1,40000,2,1,1,1,2,5,1,68,0
1,1,40000,2,1,1,1,2,5,1,69,0
1,2,70000,2,1,1,1,2,5,1,66,0
1,2,150000,2,4,1,1,1,10,3,59,0
1,1,170000,3,3,1,1,4,1,3,61,0
1,1,30000,4,0,1,0,2,2,1,84,0
1,1,60000,2,0,1,0,2,10,1,61,0
1,1,60000,2,0,1,0,2,10,1,61,0
1,2,70000,5,4,1,1,4,5,1,56,0
1,1,10000,2,2,1,1,0,1,3,46,0
1,2,10000,2,2,1,1,0,1,3,48,0
1,2,10000,2,2,1,0,1,1,3,48,0
1,2,130000,3,4,1,0,4,1,3,62,0
1,1,130000,4,5,1,0,1,1,3,62,0
1,2,90000,4,1,1,1,2,20,3,64,0
1,2,80000,4,1,1,1,3,20,3,65,0
1,1,90000,4,1,1,1,3,20,3,66,0
1,2,130000,4,5,1,1,3,20,3,65,0
1,1,130000,5,5,1,1,4,20,3,68,0
1,2,100000,0,5,1,1,2,20,2,43,0
1,1,100000,0,5,1,0,2,20,2,44,0
1,2,100000,0,5,1,1,3,20,2,45,0
1,2,30000,0,0,1,0,1,5,3,44,0
1,1,30000,0,0,1,0,1,5,3,44,0
1,2,30000,0,0,1,1,1,5,3,45,0
1,2,30000,1,0,1,1,1,10,1,62,0
1,1,30000,1,0,1,1,1,10,1,63,0
1,1,20000,1,1,1,1,1,5,3,50,0
1,2,20000,1,1,1,1,1,5,3,51,0
1,1,20000,2,2,1,1,0,1,3,52,0
1,2,20000,2,2,1,0,1,1,3,51,0
1,1,20000,2,2,1,1,1,1,3,52,0
1,1,20000,3,3,1,1,2,1,3,53,0
1,2,10000,0,0,1,0,2,1,2,39,0
1,1,100000,3,4,1,1,3,20,3,63,0
1,1,100000,3,4,1,1,3,5,3,62,0
1,1,90000,4,1,1,1,2,20,3,64,0
1,1,80000,4,1,1,1,3,20,3,65,0
1,1,90000,4,1,1,1,3,20,3,66,0
1,2,130000,4,5,1,1,4,20,3,66,0
1,1,90000,4,1,1,1,3,20,3,67,0
1,1,80000,5,1,1,1,4,20,3,68,0
1,2,130000,4,5,1,1,4,1,2,42,0
1,2,100000,0,5,1,0,2,20,2,43,0
1,2,100000,0,5,1,0,2,20,2,43,0
1,1,100000,0,5,1,1,2,20,2,44,0
1,1,100000,0,5,1,1,3,20,2,45,0
1,2,100000,0,5,1,1,4,20,2,45,0
1,2,30000,0,0,1,1,1,5,3,38,0
1,1,30000,0,0,1,0,1,2,3,43,0
1,1,30000,0,0,1,0,1,5,3,44,0
1,2,30000,0,0,1,1,1,5,3,44,0
1,1,30000,0,0,1,1,1,5,3,45,0
1,2,30000,0,0,1,0,1,5,3,45,0
1,1,30000,1,0,1,1,1,10,1,62,0
1,2,20000,1,1,1,1,1,5,3,49,0
1,1,20000,1,1,1,1,1,5,3,51,0
1,2,10000,4,0,1,0,2,1,3,89,0
1,2,20000,3,3,1,1,0,1,3,53,0
1,1,20000,3,3,1,1,0,1,3,52,0
1,1,20000,3,3,1,1,2,1,3,54,0
1,2,20000,4,4,1,1,2,1,3,37,0
1,2,20000,0,0,1,0,1,5,3,40,0
1,2,20000,0,0,1,0,1,10,3,41,0
1,2,20000,0,0,1,0,1,5,3,40,0
1,1,40000,4,4,1,1,3,20,1,44,0
1,1,40000,4,3,1,1,3,20,1,55,0
1,1,40000,4,3,1,1,3,20,1,56,0
1,1,40000,4,2,1,1,2,1,1,55,0
1,1,40000,4,2,1,0,2,1,1,56,0
1,2,40000,4,2,1,1,2,5,1,56,0
1,2,20000,3,0,1,0,2,1,1,88,0
1,2,20000,4,0,1,1,2,10,2,70,0
1,1,30000,3,0,1,0,2,2,2,66,0
1,1,30000,3,0,1,1,2,10,2,65,0
1,1,30000,3,0,1,0,2,2,2,65,0
1,2,30000,3,0,1,1,2,10,2,65,0
1,2,30000,3,0,1,0,2,2,2,64,0
1,2,30000,3,0,1,0,2,2,2,65,0
1,2,30000,3,0,1,1,2,10,2,64,0
1,1,30000,3,0,1,1,2,10,2,64,0
1,1,40000,0,0,1,0,2,2,1,42,0
1,1,60000,2,0,1,0,2,10,1,59,0
1,1,60000,2,0,1,1,2,10,1,59,0
1,1,60000,2,0,1,0,2,2,1,59,0
1,1,60000,2,0,1,0,2,10,1,59,0
1,1,60000,2,0,1,0,2,10,1,59,0
1,2,40000,0,0,1,0,2,1,1,40,0
1,2,40000,0,0,1,0,2,1,1,40,0
1,1,30000,0,0,1,0,2,1,1,36,0
1,2,10000,5,0,1,1,2,10,2,71,0
1,1,40000,0,0,1,1,2,10,1,38,0
1,1,40000,0,0,1,1,2,10,1,37,0
1,2,40000,2,1,1,1,2,5,1,68,0
1,1,70000,2,1,1,1,2,5,1,65,0
1,1,150000,2,3,1,1,4,1,3,59,0
1,1,30000,4,0,1,0,2,2,1,85,0
1,2,90000,4,3,1,1,2,10,1,55,0
1,1,60000,2,0,1,0,2,10,1,61,0
1,2,60000,2,0,1,1,2,10,1,62,0
1,1,60000,2,0,1,1,2,10,1,61,0
1,1,70000,4,3,1,1,0,2,1,61,0
1,1,70000,4,3,1,1,0,10,1,61,0
1,2,70000,4,3,1,0,0,2,1,61,0
1,2,120000,1,3,1,0,4,5,1,56,0
1,1,60000,2,0,1,1,2,10,1,62,0
1,1,70000,2,1,1,1,2,20,1,65,0
1,1,70000,2,1,1,1,2,5,1,65,0
1,1,60000,2,0,1,0,2,10,1,62,0
1,2,60000,2,0,1,0,2,2,1,61,0
1,1,60000,2,0,1,0,2,10,1,61,0
1,1,90000,4,3,1,0,2,2,1,56,0
1,1,120000,1,3,1,1,4,5,1,56,0
1,1,10000,0,0,1,1,2,1,2,39,0
1,2,10000,0,0,1,1,2,1,2,40,0
1,2,10000,2,2,1,1,0,1,3,48,0
1,1,10000,2,2,1,1,0,1,3,47,0
1,2,10000,3,0,1,1,2,1,3,65,0
1,1,10000,4,0,1,0,2,1,3,65,0
1,1,10000,2,2,1,1,1,1,3,48,0
1,1,10000,2,2,1,0,1,1,3,48,0
1,1,70000,5,1,1,1,3,20,3,71,0
1,2,100000,3,4,1,1,3,20,3,62,0
1,1,80000,4,1,1,0,3,5,3,65,0
1,1,90000,4,1,1,1,3,20,3,65,0
1,1,130000,4,5,1,0,3,20,3,66,0
1,2,120000,4,5,1,1,3,20,3,67,0
1,1,150000,5,5,1,1,4,20,3,67,0
1,1,80000,5,1,1,1,4,20,3,68,0
1,1,90000,4,1,1,1,3,20,3,68,0
1,2,100000,0,5,1,1,3,20,2,45,0
1,1,100000,0,5,1,1,3,20,2,45,0
1,2,100000,0,5,1,0,4,20,2,45,0
1,2,100000,0,5,1,0,4,20,2,46,0
1,2,30000,0,0,1,0,1,2,3,38,0
1,1,30000,0,0,1,1,1,5,3,43,0
1,1,30000,0,0,1,0,1,2,3,43,0
1,2,30000,0,0,1,0,1,5,3,43,0
1,2,30000,0,0,1,1,1,5,3,45,0
1,1,30000,0,0,1,0,1,5,3,45,0
1,1,30000,1,0,1,1,1,10,1,62,0
1,2,20000,1,1,1,1,1,5,3,50,0
