countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate,LatePayment
391,0379-NEVHP,4/6/2013,611365,1/2/2013,2/1/2013,55.94,No,1/15/2013,Paper,13,0,0
406,8976-AMJEO,3/3/2012,7900770,1/26/2013,2/25/2013,61.74,Yes,3/3/2013,Electronic,36,6,1
391,2820-XGXSB,1/26/2012,9231909,7/3/2013,8/2/2013,65.88,No,7/8/2013,Electronic,5,0,0
406,9322-YCTQO,4/6/2012,9888306,2/10/2013,3/12/2013,105.92,No,3/17/2013,Electronic,35,5,1
818,6627-ELFBK,11/26/2012,15752855,10/25/2012,11/24/2012,72.27,Yes,11/28/2012,Paper,34,4,1
818,5148-SYKLB,8/28/2013,18104516,1/27/2012,2/26/2012,94,Yes,2/22/2012,Paper,26,0,0
897,8690-EEBEO,12/5/2012,23864272,8/13/2013,9/12/2013,74.69,No,9/9/2013,Electronic,27,0,0
770,4460-ZXNDN,6/27/2013,27545037,12/16/2012,1/15/2013,75.06,No,1/12/2013,Paper,27,0,0
770,3831-FXWYK,3/8/2013,28049695,5/14/2012,6/13/2012,80.07,Yes,7/1/2012,Paper,48,18,1
897,7654-DOLHO,4/4/2012,32277701,7/1/2013,7/31/2013,48.33,No,7/26/2013,Electronic,25,0,0
770,3993-QUNVJ,12/31/2012,35868002,3/31/2012,4/30/2012,75.33,No,4/16/2012,Paper,16,0,0
406,5284-DJOZO,9/11/2012,36478577,8/7/2013,9/6/2013,73.35,No,8/15/2013,Electronic,8,0,0
818,5924-UOPGH,6/6/2013,36620839,5/8/2013,6/7/2013,90.08,Yes,6/9/2013,Paper,32,2,1
406,9117-LYRCE,7/5/2013,41324194,10/21/2012,11/20/2012,57.17,No,11/30/2012,Paper,40,10,1
818,7695-NKUXM,11/21/2012,42511106,11/7/2012,12/7/2012,50.02,No,11/18/2012,Paper,11,0,0
391,8820-BLYDZ,3/19/2013,46372811,2/21/2013,3/23/2013,61.96,No,2/28/2013,Paper,7,0,0
406,8976-AMJEO,3/3/2012,46937392,5/16/2013,6/15/2013,69.88,No,6/4/2013,Electronic,19,0,0
818,5148-SYKLB,8/28/2013,49331333,5/29/2013,6/28/2013,68.8,Yes,7/10/2013,Paper,42,12,1
818,3568-JJMFW,1/9/2012,52765186,10/20/2013,11/19/2013,96.23,Yes,11/9/2013,Electronic,20,0,0
818,5613-UHVMG,5/31/2012,55416013,11/30/2012,12/30/2012,42.01,Yes,1/16/2013,Electronic,47,17,1
406,6833-ETVHD,4/30/2012,57081728,11/4/2012,12/4/2012,86.65,No,11/29/2012,Electronic,25,0,0
770,7758-WKLVM,2/6/2012,57781566,6/24/2012,7/24/2012,71.49,No,8/7/2012,Electronic,44,14,1
818,6004-KITZM,9/1/2013,58393139,1/6/2013,2/5/2013,88.16,No,1/29/2013,Paper,23,0,0
391,9841-XLGBV,1/3/2013,72380981,2/16/2013,3/18/2013,26.44,No,3/6/2013,Electronic,18,0,0
897,8690-EEBEO,12/5/2012,75181247,2/18/2012,3/19/2012,83.33,No,3/30/2012,Paper,41,11,1
391,8156-PCYBM,3/3/2012,81932735,1/24/2012,2/23/2012,72.7,No,3/3/2012,Paper,39,9,1
818,7946-HJDUR,2/21/2012,86171934,5/29/2013,6/28/2013,41.69,No,6/22/2013,Electronic,24,0,0
770,3831-FXWYK,3/8/2013,93006859,12/24/2012,1/23/2013,24.46,No,1/31/2013,Paper,38,8,1
406,2621-XCLEH,9/24/2012,97717897,3/31/2013,4/30/2013,70.93,Yes,5/25/2013,Electronic,55,25,1
818,8887-NCUZC,1/22/2013,101415601,5/31/2012,6/30/2012,40.07,No,7/4/2012,Paper,34,4,1
897,9286-VLKMI,2/13/2013,101747306,5/27/2013,6/26/2013,58.19,No,5/29/2013,Electronic,2,0,0
406,6833-ETVHD,4/30/2012,103483331,7/27/2012,8/26/2012,72.13,No,8/18/2012,Electronic,22,0,0
391,6160-HCSFI,1/10/2013,104628267,1/13/2012,2/12/2012,72.72,No,2/4/2012,Paper,22,0,0
391,1080-NDGAE,9/28/2012,106360977,2/19/2012,3/20/2012,93.48,Yes,3/26/2012,Paper,36,6,1
897,6296-UKEUZ,11/26/2012,106486147,9/21/2013,10/21/2013,46.55,No,9/25/2013,Electronic,4,0,0
770,6831-FIODB,5/8/2013,110122785,10/23/2012,11/22/2012,32.58,No,11/30/2012,Paper,38,8,1
897,6296-UKEUZ,11/26/2012,120364375,4/23/2013,5/23/2013,34.63,No,4/24/2013,Electronic,1,0,0
818,5148-SYKLB,8/28/2013,121797094,9/28/2012,10/28/2012,89.15,No,10/30/2012,Paper,32,2,1
391,0379-NEVHP,4/6/2013,122662308,8/5/2013,9/4/2013,43.64,No,8/21/2013,Electronic,16,0,0
770,7758-WKLVM,2/6/2012,123645023,12/22/2012,1/21/2013,44.36,No,1/24/2013,Electronic,33,3,1
770,3993-QUNVJ,12/31/2012,131216793,2/1/2013,3/3/2013,56.65,No,2/5/2013,Electronic,4,0,0
391,9174-IYKOC,11/27/2012,135429278,8/2/2012,9/1/2012,58.2,No,8/24/2012,Paper,22,0,0
391,2676-DZINU,10/19/2012,145315244,8/19/2013,9/18/2013,83.05,No,9/6/2013,Electronic,18,0,0
391,9014-WENVB,8/3/2013,152050637,2/13/2013,3/15/2013,60.03,No,3/11/2013,Paper,26,0,0
406,6833-ETVHD,4/30/2012,152808559,9/11/2012,10/11/2012,59.01,No,9/29/2012,Electronic,18,0,0
406,1447-YZKCL,8/10/2012,173814675,4/27/2013,5/27/2013,66.85,No,5/27/2013,Electronic,30,0,0
818,8364-UWVLM,11/10/2012,176356154,8/20/2012,9/19/2012,78.83,Yes,10/3/2012,Paper,44,14,1
770,9323-NDIOV,7/9/2012,176953642,9/10/2013,10/10/2013,65,No,10/17/2013,Electronic,37,7,1
391,5920-DPXLN,11/11/2012,176959210,8/30/2012,9/29/2012,57.18,No,9/19/2012,Paper,20,0,0
391,6708-DPYTF,8/2/2012,180192586,8/2/2012,9/1/2012,74.65,No,9/18/2012,Paper,47,17,1
391,9014-WENVB,8/3/2013,186123387,6/9/2012,7/9/2012,59.85,No,7/8/2012,Paper,29,0,0
406,4632-QZOKX,3/19/2013,186768686,6/10/2012,7/10/2012,40.54,Yes,7/11/2012,Paper,31,1,1
391,2125-HJDLA,5/22/2012,189882917,9/3/2012,10/3/2012,51.44,No,10/17/2012,Electronic,44,14,1
770,5592-UQXSS,12/31/2012,190687025,7/15/2013,8/14/2013,28.43,No,8/2/2013,Electronic,18,0,0
406,9725-EZTEJ,3/17/2012,195093797,11/2/2013,12/2/2013,78.73,Yes,12/4/2013,Electronic,32,2,1
897,6177-VTITE,10/26/2012,195359114,8/29/2012,9/28/2012,56.26,Yes,9/21/2012,Paper,23,0,0
