customer,purchase_date,purchase_quantity,product_line,product_code,quantity,price_before_discount,price_after_discount,Hour,store_code,vendor_code,amount
495501,2017-01-01,12026,2,25441,1,41.333,41.333,1639,10000,28,41.333
495501,2017-01-01,12026,1,23768,1,32.4,32.4,1639,10001,28,32.4
1797430,2017-01-01,12001,3,82509,1,0.667,0,1607,10002,20,0.667
2248471,2017-01-01,12060,2,1856,1,12,11.4,1830,10002,31,12
2248499,2017-01-01,12004,1,36367,1,47.587,47.587,1610,10002,23,47.587
2248528,2017-01-01,12024,1,87914,1,11.6,11.6,1632,10001,4,11.6
2248820,2017-01-01,12057,5,72607,1,10.533,10.533,1820,10000,26,10.533
2248820,2017-01-01,12057,4,90140,1,6.933,6.933,1820,10000,26,6.933
2255804,2017-01-01,12067,1,89462,1,26.587,26.587,1906,10001,26,26.587
2267053,2017-01-01,12053,1,79081,1,100.8,100.8,1808,10000,31,100.8
2273576,2017-01-01,11992,2,99519,1,8.653,8.653,1542,10001,28,8.653
2273576,2017-01-01,11992,1,24153,1,69.6,69.6,1542,10000,28,69.6
2274160,2017-01-02,12058,2,22267,1,6,5.067,1826,10002,31,6
2274473,2017-01-02,12022,1,91937,1,35.253,35.253,1630,10000,4,35.253
2274696,2017-01-02,12019,1,17003,1,91.747,91.747,1625,10000,4,91.747
2274741,2017-01-02,12061,3,71194,1,16.667,8.987,1831,10002,31,16.667
2274741,2017-01-02,12061,1,2971,1,5.36,2.893,1831,10000,31,5.36
2274924,2017-01-02,11931,1,100326,1,24.4,20.253,1247,10001,4,24.4
2274924,2017-01-02,11931,3,50518,1,25.547,21.2,1247,10002,4,25.547
3457810,2017-01-04,16555,1,72994,1,17.107,17.107,1832,10002,23,17.107
3457810,2017-01-04,16555,3,97493,1,54.267,54.267,1832,10002,23,54.267
3506886,2017-01-04,16374,1,101327,1,29.867,27.013,1035,10001,24,29.867
3506886,2017-01-04,16374,2,80383,1,43.333,39.187,1035,10000,24,43.333
3557955,2017-01-04,16402,2,75210,1,11.067,11.067,1227,10000,29,11.067
3557958,2017-01-04,16532,3,90701,1,70.667,67.133,1739,10001,29,70.667
3557958,2017-01-04,16532,2,96334,1,14,13.307,1739,10000,29,14
3557958,2017-01-04,16532,1,102058,1,7.867,7.467,1739,10001,29,7.867
3557963,2017-01-04,16518,1,100839,1,60.267,60.267,1711,10000,29,60.267
